Timestamp,What is your age?,What is your highest level of education?,"What is your job? (Say ""N/A"" if not applicable, and ""Student"" if you're a student)","How familiar are you with visual art? (Paintings, digital, sketches, etc.)","Please describe your experience with art in a sentence, including mediums if you are an artist. If you have no familiarity with art, say ""None.""",How familiar are you with artificial intelligence (AI)?,What's your opinion on AI-generated art?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?
12/3/2023 23:26:57,19,Some College,student,2,taken elementary art classes,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:28:21,18,High School or Equivalent,"Student, coach, landscaper",4,I go to art museaums fairly often and i have gained a fair amount of experience from my father who has an MFA in photography. I am more of an musician though.,2,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:28:30,21,Some College,Student,4,Occasionally paint with acrylic on canvas,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:28:39,18,Some College,Student,2,I dabble in doodling from time to time,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:28:40,19,Some College,Student,3,"I like looking at it, especially online, but not making it",4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:28:59,18,Some College,Student,2,"I took an art class in high school, in which we used paints, paper, clay, and watercolor.",2,Negative Opinion,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:29:02,18,Some College,Canes employee,5,"i do digital art, painting, charcoal, graphite, and marker art, and ive been drawing for 15 years",3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:31:04,20,Some College,Student,2,None,4,Negative Opinion,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:31:21,19,Some College,student ,3,I’ve painted mostly with acrylics and watercolors ,4,Negative Opinion,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:31:23,19,High School or Equivalent,Student ,2,I am very bad at it but I understand the hostory,4,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:31:32,19,Some College,Loss Prevention,3,"Used to draw as a young teen, made it as far as buying a drawing tablet for my laptop.",4,Neutral Opinion/Don't Care,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:31:32,19,High School or Equivalent,Student ,5,Graphic design major,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:32:49,19,Some College,Student,1,None,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:33:10,18,Some College,Customer Service Associate ,4,I used to be very big into painting and drawing with colored pencils and digital art,2,Negative Opinion,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:33:28,19,Some College,Student ,2,High school art class is the most I’ve done. ,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:34:09,20,Bachelor's Degree,Student,3,Liked to draw as a hobby,4,Positive Opinion,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:34:31,18,Some College,Student,4,Ive dabbled in about everything ,1,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/3/2023 23:34:45,19,Some College,Student,3,"Art classes, drawing, painting",2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:36:01,22,Some College,Student,1,None,4,Positive Opinion,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:36:20,19,Some College,Student,3,I took art classes in high school,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/3/2023 23:37:06,20,Some College,Student,3,"I have looked at art, do minimal drawing, and have made AI art.",5,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:37:15,18,Some College,Student ,3,Not much familiarity ,2,Neutral Opinion/Don't Care,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:37:39,21,Some College,Student,3,"I enjoy sketching and photography, but just for fun",4,Neutral Opinion/Don't Care,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:37:40,21,Associates or Vocational Degree,Students ,3,"I know artists ahd are friends with artists, but I can't really draw.",3,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1
12/3/2023 23:37:59,22,Associates or Vocational Degree,Student ,2,I painted in high school but now just make random art.,5,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:39:51,20,Some College,Student ,3,Museums and art classs ,4,Positive Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:40:19,21,Some College,Student,2,"I took an art class in 8th grade. We drew in pencil, and painted an oil painting.",3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:40:51,19,Some College,student,2,I’ve taken and few classes and many of my extended family members do art in some capacity as their career.,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:41:05,18,Some College,student ,5,I am a graphic design major. ,5,Negative Opinion,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:42:53,20,Some College,Student,1,None,5,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:47:29,21,Associates or Vocational Degree,Associate at Sephora/ Student,3,I have two extremely artistic cousins as well as taking multiple art classes. ,2,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/3/2023 23:50:43,21,Some College,Student,2,"School classes, some doodling when bored",3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1
12/3/2023 23:50:48,19,Some College,Pharmacy tech/student,2,"Very minimal, love it but don’t know a whole bunch about it",3,Neutral Opinion/Don't Care,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2
12/3/2023 23:54:29,19,Some College,Student,2,Taken art classes before ,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2
12/4/2023 0:02:24,19,Some College,TA,1,None,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 0:03:25,19,Some College,Student,1,None,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2
12/4/2023 0:06:28,18,Some College,Student,2,I took a painting class in high school. ,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 0:09:07,21,Some College,Student,4,"I’ve taken many art classes, and do some art myself. A few times I’ve been hired to make paintings. And at my high school if you did one form of art (ie music) they made sure you were educated on other forms of art as wel.",2,Positive Opinion,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2
12/4/2023 0:09:22,17,Some College,Student,4,"I’ve used oil pastels, chalk, paint, watercolor, pen, and colored pencil.",2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2
12/4/2023 0:11:18,19,Some College,"Student, Waitress",3,I’m a dance and Spanish double major so part of that is finding significance in renaissance paintings and movements which correlate in some ways. ,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2
12/4/2023 0:13:32,20,Bachelor's Degree,Student,5,"I do hyper realistic graphite portraits, zentangle art, and pencil sketches. Main medium is pencil, occasionally ink, and even rarer colored pencil or paints. ",5,Negative Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2
12/4/2023 0:17:01,18,Bachelor's Degree,Student,2,I used to sketch a lot when I was younger,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1
12/4/2023 0:19:27,18,Some College,student,3,I love looking at it but i have no artist abilities ,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2
