Timestamp,What is your age?,What is your highest level of education?,"What is your job? (Say ""N/A"" if not applicable, and ""Student"" if you're a student)","How familiar are you with visual art? (Paintings, digital, sketches, etc.)","Please describe your experience with art in a sentence, including mediums if you are an artist. If you have no familiarity with art, say ""None.""",How familiar are you with artificial intelligence (AI)?,What's your opinion on AI-generated art?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?,Which image did you like more?,Which image do you think is AI generated?
12/4/2023 7:11:45,18,High School or Equivalent,Student,2,Used to occasionally draw and sketch in middle and high school,4,Negative Opinion,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2
12/4/2023 7:22:21,18,Some College,student ,3,"I see a lot of visual art, and I’ve done a bit of painting in the past. ",5,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 7:34:57,20,Some College,Student,2,None,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2
12/4/2023 7:45:00,19,Some College,Student,4,"Art through highschool, Pottery, Acrylic paint, Oil paint, pastels, pencil,, pen…",4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2
12/4/2023 8:06:08,19,Some College,Student,2,I took an introductory course in high school and learns the elements of art but that's it,4,Positive Opinion,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 8:12:39,22,Some College,Student,2,Digital and pencil sketches.,5,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1
12/4/2023 8:17:24,18,Some College,Student ,3,"I used to draw a lot a few years ago, I also took an art class in highschool.",4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 8:19:34,21,Some College,Student,3,I like to paint on canvases sometime but I am by no means no fancy artist,4,Positive Opinion,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 8:42:03,20,Some College,Student ,2,I hate making it ,2,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1
12/4/2023 8:42:44,19,Some College,Student,3,Some familiarity ,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1
12/4/2023 8:43:45,19,Some College,student,2,I’ve taken a few generic art classes in school and my mom stencils a lot.,2,Neutral Opinion/Don't Care,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 8:50:56,18,Some College,student ,1,just art class in high school ,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1
12/4/2023 9:03:39,18,High School or Equivalent,student,1,none,2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2
12/4/2023 9:07:53,21,Some College,I am a student and an Emerging Media Artist at Nebraska Public Media,5,"I am a student at the Johnny Carson Center for Emerging Media Arts and Im studying to be a VFX artist. I have been working in the Adobe CreativeSuite, DaVinci Resolve, and Maya Autodesk for over 10 years now. I am a 3D modeling artist, an editor, photographer, videographer, VFX artist, and digital media artist. I do a lot of digital motion graphics as well, and i use AI for inspiration for a lot of projects especially since the new updates to Adobe this year. After the Adobe Max conference this year, i look forward to more of whats coming from them in terms of AI, especially since its already becoming difficult to tell the difference between AI generagted art and art from humans.",5,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2
12/4/2023 9:09:17,20,Some College,Student ,5,Mostly worked with traditional ,4,Neutral Opinion/Don't Care,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 9:11:11,19,Some College,student,4,"digital art, acrylics, pencils ",3,Negative Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:11:53,20,Some College,student,1,none,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 9:24:29,20,Associates or Vocational Degree,Student,4,"Pastels, paints, pen, pencil",3,Positive Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:27:02,22,Some College,Student and dining hall,4,"Ink for printing, acrylic, oil and water colors,  colored pencils",3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:29:00,20,Some College,Student ,3,"I am familiar with art and draw, paint and collage occasionally ",5,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1
12/4/2023 9:29:17,18,High School or Equivalent,Retail,3,Pencil is my main focus ,2,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:32:00,20,Some College,Barista,4,Took art classes in high school,1,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:40:30,20,Some College,Student/Student Worker,4,"Ive dabbled in charcoal, oil pastels, graphite, acrylic, ink, pry more that i dont remember.",5,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2
12/4/2023 9:46:56,19,High School or Equivalent,Student,2,None,3,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 9:47:49,18,Some College,Student,3,Painted with acrylics here and there,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1
12/4/2023 9:57:35,20,Some College,Student,3,General hobbyist graphic design experience.,4,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 10:17:56,18,Some College,Student,4,Sketching some painting (hobby),3,Negative Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2
12/4/2023 10:24:08,18,Some College,Student,4,Some art experience,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 10:33:41,20,Some College,Student Lab Worker,2,None ,3,Negative Opinion,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2
12/4/2023 10:53:43,18,Some College,Student ,1,None,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 10:58:32,18,High School or Equivalent,Student,2,none applicable,3,Negative Opinion,Image 1,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1
12/4/2023 10:58:48,18,Some College,Student,3,No visual art experience,3,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 10:59:00,18,Some College,student ,3,acrylic paint ,3,Negative Opinion,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 11:05:56,19,Some College,graphic designer,4,I use it every day for work,5,Positive Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 11:12:21,23,Bachelor's Degree,Grad student,1,None,1,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 11:15:27,20,Some College,Student,1,None,4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 11:27:41,18,Some College,Student,4,"Love to paint, have made a lot of ai art with the /imagine",4,Positive Opinion,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 1,Image 1,Image 2
12/4/2023 11:35:35,18,High School or Equivalent,Student,3,"I’m in artist in the music sense, in terms of visual art I’ve never been in that field but I have many friends and acquaintances who I consider higher ups in that field",5,Neutral Opinion/Don't Care,Image 2,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2
12/4/2023 11:42:32,19,High School or Equivalent,student ,5,Art in many forms mainly acrilic ,4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
12/4/2023 11:51:46,18,Associates or Vocational Degree,Student and Direct Support Professional s,3,I just paint occasionally with the individuals I work with and at home like 3 times a week,4,Neutral Opinion/Don't Care,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 11:55:32,19,Some College,Student,5,"I’ve worked with graphite, charcoal, acrylic, gouache, watercolor, oil pastel, hard pastel, ink, and clay.",4,Negative Opinion,Image 2,Image 1,Image 2,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 2,Image 2,Image 1,Image 2,Image 2,Image 2,Image 2,Image 1,Image 2,Image 1
12/4/2023 12:02:02,21,Some College,Student,3,Being apart of the Design Field,3,Neutral Opinion/Don't Care,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 1,Image 2,Image 2,Image 1,Image 1,Image 2,Image 1,Image 2,Image 1,Image 1,Image 1,Image 1
